time,mass,MOIx,MOIy,MOIz,centre-of-mass
73.170000,37.811851,0.196000,218.988000,218.988000,1.965960
73.175000,37.811851,0.196000,218.988000,218.988000,1.965960
73.180000,37.811851,0.196000,218.988000,218.988000,1.965960
73.185000,37.811851,0.196000,218.988000,218.988000,1.965960
73.190000,37.811851,0.196000,218.988000,218.988000,1.965960
73.195000,37.811851,0.196000,218.988000,218.988000,1.965960
73.200000,37.811851,0.196000,218.988000,218.988000,1.965960
73.205000,37.811851,0.196000,218.988000,218.988000,1.965960
73.210000,37.811851,0.196000,218.988000,218.988000,1.965960
73.215000,37.811851,0.196000,218.988000,218.988000,1.965960
73.220000,37.811851,0.196000,218.988000,218.988000,1.965960
73.225000,37.811851,0.196000,218.988000,218.988000,1.965960
73.230000,37.811851,0.196000,218.988000,218.988000,1.965960
73.235000,37.811851,0.196000,218.988000,218.988000,1.965960
73.240000,37.811851,0.196000,218.988000,218.988000,1.965960
73.245000,37.811851,0.196000,218.988000,218.988000,1.965960
73.250000,37.811851,0.196000,218.988000,218.988000,1.965960
73.255000,37.811851,0.196000,218.988000,218.988000,1.965960
73.260000,37.811851,0.196000,218.988000,218.988000,1.965960
73.265000,37.811851,0.196000,218.988000,218.988000,1.965960
73.270000,37.811851,0.196000,218.988000,218.988000,1.965960
73.275000,37.811851,0.196000,218.988000,218.988000,1.965960
73.280000,37.811851,0.196000,218.988000,218.988000,1.965960
73.285000,37.811851,0.196000,218.988000,218.988000,1.965960
73.290000,37.811851,0.196000,218.988000,218.988000,1.965960
73.295000,37.811851,0.196000,218.988000,218.988000,1.965960
73.300000,37.811851,0.196000,218.988000,218.988000,1.965960
73.305000,37.811851,0.196000,218.988000,218.988000,1.965960
73.310000,37.811851,0.196000,218.988000,218.988000,1.965960
73.315000,37.811851,0.196000,218.988000,218.988000,1.965960
73.320000,37.811851,0.196000,218.988000,218.988000,1.965960
73.325000,37.811851,0.196000,218.988000,218.988000,1.965960
73.330000,37.811851,0.196000,218.988000,218.988000,1.965960
73.335000,37.811851,0.196000,218.988000,218.988000,1.965960
73.340000,37.811851,0.196000,218.988000,218.988000,1.965960
73.345000,37.811851,0.196000,218.988000,218.988000,1.965960
73.350000,37.811851,0.196000,218.988000,218.988000,1.965960
73.355000,37.811851,0.196000,218.988000,218.988000,1.965960
73.360000,37.811851,0.196000,218.988000,218.988000,1.965960
73.365000,37.811851,0.196000,218.988000,218.988000,1.965960
73.370000,37.811851,0.196000,218.988000,218.988000,1.965960
73.375000,37.811851,0.196000,218.988000,218.988000,1.965960
73.380000,37.811851,0.196000,218.988000,218.988000,1.965960
73.385000,37.811851,0.196000,218.988000,218.988000,1.965960
73.390000,37.811851,0.196000,218.988000,218.988000,1.965960
73.395000,37.811851,0.196000,218.988000,218.988000,1.965960
73.400000,37.811851,0.196000,218.988000,218.988000,1.965960
73.405000,37.811851,0.196000,218.988000,218.988000,1.965960
73.410000,37.811851,0.196000,218.988000,218.988000,1.965960
73.415000,37.811851,0.196000,218.988000,218.988000,1.965960
73.420000,37.811851,0.196000,218.988000,218.988000,1.965960
73.425000,37.811851,0.196000,218.988000,218.988000,1.965960
73.430000,37.811851,0.196000,218.988000,218.988000,1.965960
73.435000,37.811851,0.196000,218.988000,218.988000,1.965960
73.440000,37.811851,0.196000,218.988000,218.988000,1.965960
73.445000,37.811851,0.196000,218.988000,218.988000,1.965960
73.450000,37.811851,0.196000,218.988000,218.988000,1.965960
73.455000,37.811851,0.196000,218.988000,218.988000,1.965960
73.460000,37.811851,0.196000,218.988000,218.988000,1.965960
73.465000,37.811851,0.196000,218.988000,218.988000,1.965960
73.470000,37.811851,0.196000,218.988000,218.988000,1.965960
73.475000,37.811851,0.196000,218.988000,218.988000,1.965960
73.480000,37.811851,0.196000,218.988000,218.988000,1.965960
73.485000,37.811851,0.196000,218.988000,218.988000,1.965960
73.490000,37.811851,0.196000,218.988000,218.988000,1.965960
73.495000,37.811851,0.196000,218.988000,218.988000,1.965960
73.500000,37.811851,0.196000,218.988000,218.988000,1.965960
73.505000,37.811851,0.196000,218.988000,218.988000,1.965960
73.510000,37.811851,0.196000,218.988000,218.988000,1.965960
73.515000,37.811851,0.196000,218.988000,218.988000,1.965960
73.520000,37.811851,0.196000,218.988000,218.988000,1.965960
73.525000,37.811851,0.196000,218.988000,218.988000,1.965960
73.530000,37.811851,0.196000,218.988000,218.988000,1.965960
73.535000,37.811851,0.196000,218.988000,218.988000,1.965960
73.540000,37.811851,0.196000,218.988000,218.988000,1.965960
73.545000,37.811851,0.196000,218.988000,218.988000,1.965960
73.550000,37.811851,0.196000,218.988000,218.988000,1.965960
73.555000,37.811851,0.196000,218.988000,218.988000,1.965960
73.560000,37.811851,0.196000,218.988000,218.988000,1.965960
73.565000,37.811851,0.196000,218.988000,218.988000,1.965960
73.570000,37.811851,0.196000,218.988000,218.988000,1.965960
73.575000,37.811851,0.196000,218.988000,218.988000,1.965960
73.580000,37.811851,0.196000,218.988000,218.988000,1.965960
73.585000,37.811851,0.196000,218.988000,218.988000,1.965960
73.590000,37.811851,0.196000,218.988000,218.988000,1.965960
73.595000,37.811851,0.196000,218.988000,218.988000,1.965960
73.600000,37.811851,0.196000,218.988000,218.988000,1.965960
73.605000,37.811851,0.196000,218.988000,218.988000,1.965960
73.610000,37.811851,0.196000,218.988000,218.988000,1.965960
73.615000,37.811851,0.196000,218.988000,218.988000,1.965960
73.620000,37.811851,0.196000,218.988000,218.988000,1.965960
73.625000,37.811851,0.196000,218.988000,218.988000,1.965960
73.630000,37.811851,0.196000,218.988000,218.988000,1.965960
73.635000,37.811851,0.196000,218.988000,218.988000,1.965960
73.640000,37.811851,0.196000,218.988000,218.988000,1.965960
73.645000,37.811851,0.196000,218.988000,218.988000,1.965960
73.650000,37.811851,0.196000,218.988000,218.988000,1.965960
73.655000,37.811851,0.196000,218.988000,218.988000,1.965960
73.660000,37.811851,0.196000,218.988000,218.988000,1.965960
73.665000,37.811851,0.196000,218.988000,218.988000,1.965960
73.670000,37.811851,0.196000,218.988000,218.988000,1.965960
73.675000,37.811851,0.196000,218.988000,218.988000,1.965960
73.680000,37.811851,0.196000,218.988000,218.988000,1.965960
73.685000,37.811851,0.196000,218.988000,218.988000,1.965960
73.690000,37.811851,0.196000,218.988000,218.988000,1.965960
73.695000,37.811851,0.196000,218.988000,218.988000,1.965960
73.700000,37.811851,0.196000,218.988000,218.988000,1.965960
73.705000,37.811851,0.196000,218.988000,218.988000,1.965960
73.710000,37.811851,0.196000,218.988000,218.988000,1.965960
73.715000,37.811851,0.196000,218.988000,218.988000,1.965960
73.720000,37.811851,0.196000,218.988000,218.988000,1.965960
73.725000,37.811851,0.196000,218.988000,218.988000,1.965960
73.730000,37.811851,0.196000,218.988000,218.988000,1.965960
73.735000,37.811851,0.196000,218.988000,218.988000,1.965960
73.740000,37.811851,0.196000,218.988000,218.988000,1.965960
73.745000,37.811851,0.196000,218.988000,218.988000,1.965960
73.750000,37.811851,0.196000,218.988000,218.988000,1.965960
73.755000,37.811851,0.196000,218.988000,218.988000,1.965960
73.760000,37.811851,0.196000,218.988000,218.988000,1.965960
73.765000,37.811851,0.196000,218.988000,218.988000,1.965960
73.770000,37.811851,0.196000,218.988000,218.988000,1.965960
73.775000,37.811851,0.196000,218.988000,218.988000,1.965960
73.780000,37.811851,0.196000,218.988000,218.988000,1.965960
73.785000,37.811851,0.196000,218.988000,218.988000,1.965960
73.790000,37.811851,0.196000,218.988000,218.988000,1.965960
73.795000,37.811851,0.196000,218.988000,218.988000,1.965960
73.800000,37.811851,0.196000,218.988000,218.988000,1.965960
73.805000,37.811851,0.196000,218.988000,218.988000,1.965960
73.810000,37.811851,0.196000,218.988000,218.988000,1.965960
73.815000,37.811851,0.196000,218.988000,218.988000,1.965960
73.820000,37.811851,0.196000,218.988000,218.988000,1.965960
73.825000,37.811851,0.196000,218.988000,218.988000,1.965960
73.830000,37.811851,0.196000,218.988000,218.988000,1.965960
73.835000,37.811851,0.196000,218.988000,218.988000,1.965960
73.840000,37.811851,0.196000,218.988000,218.988000,1.965960
73.845000,37.811851,0.196000,218.988000,218.988000,1.965960
73.850000,37.811851,0.196000,218.988000,218.988000,1.965960
73.855000,37.811851,0.196000,218.988000,218.988000,1.965960
73.860000,37.811851,0.196000,218.988000,218.988000,1.965960
73.865000,37.811851,0.196000,218.988000,218.988000,1.965960
73.870000,37.811851,0.196000,218.988000,218.988000,1.965960
73.875000,37.811851,0.196000,218.988000,218.988000,1.965960
73.880000,37.811851,0.196000,218.988000,218.988000,1.965960
73.885000,37.811851,0.196000,218.988000,218.988000,1.965960
