altitude,temperature,pressure,density
47400.000000,270.650000,105.446307,0.000000
47500.000000,270.650000,104.122969,0.000000
47600.000000,270.650000,102.816238,0.000000
47700.000000,270.650000,101.525907,0.000000
47800.000000,270.650000,100.251769,0.000000
47900.000000,270.650000,98.993621,0.000000
48000.000000,270.650000,97.751263,0.000000
48100.000000,270.650000,96.524496,0.000000
48200.000000,270.650000,95.313126,0.000000
48300.000000,270.650000,94.116957,0.000000
48400.000000,270.650000,92.935801,0.000000
48500.000000,270.650000,91.769468,0.000000
48600.000000,270.650000,90.617772,0.000000
48700.000000,270.650000,89.480530,0.000000
48800.000000,270.650000,88.357560,0.000000
48900.000000,270.650000,87.248684,0.000000
49000.000000,270.650000,86.153723,0.000000
49100.000000,270.650000,85.072504,0.000000
49200.000000,270.650000,84.004855,0.000000
49300.000000,270.650000,82.950604,0.000000
49400.000000,270.650000,81.909584,0.000000
49500.000000,270.650000,80.881628,0.000000
49600.000000,270.650000,79.866574,0.000000
49700.000000,270.650000,78.864258,0.000000
49800.000000,270.650000,77.874521,0.000000
49900.000000,270.650000,76.897205,0.000000
50000.000000,270.650000,75.932154,0.000000
50100.000000,270.650000,74.979215,0.000000
50200.000000,270.650000,74.038235,0.000000
50300.000000,270.650000,73.109064,0.000000
50400.000000,270.650000,72.191554,0.000000
50500.000000,270.650000,71.285559,0.000000
50600.000000,270.650000,70.390934,0.000000
50700.000000,270.650000,69.507536,0.000000
50800.000000,270.650000,68.635225,0.000000
50900.000000,270.650000,67.773861,0.000000
51000.000000,270.650000,66.923307,0.000000
51100.000000,270.370000,66.110421,0.000000
51200.000000,270.090000,65.291306,0.000000
51300.000000,269.810000,64.481557,0.000000
51400.000000,269.530000,63.681074,0.000000
51500.000000,269.250000,62.889761,0.000000
51600.000000,268.970000,62.107522,0.000000
51700.000000,268.690000,61.334260,0.000000
51800.000000,268.410000,60.569881,0.000000
51900.000000,268.130000,59.814293,0.000000
52000.000000,267.850000,59.067401,0.000000
52100.000000,267.570000,58.329114,0.000000
52200.000000,267.290000,57.599342,0.000000
52300.000000,267.010000,56.877994,0.000000
52400.000000,266.730000,56.164981,0.000000
52500.000000,266.450000,55.460214,0.000000
52600.000000,266.170000,54.763607,0.000000
52700.000000,265.890000,54.075073,0.000000
52800.000000,265.610000,53.394525,0.000000
52900.000000,265.330000,52.721879,0.000000
53000.000000,265.050000,52.057050,0.000000
53100.000000,264.770000,51.399957,0.000000
53200.000000,264.490000,50.750514,0.000000
53300.000000,264.210000,50.108642,0.000000
53400.000000,263.930000,49.474260,0.000000
53500.000000,263.650000,48.847286,0.000000
53600.000000,263.370000,48.227642,0.000000
53700.000000,263.090000,47.615249,0.000000
53800.000000,262.810000,47.010030,0.000000
53900.000000,262.530000,46.411907,0.000000
54000.000000,262.250000,45.820804,0.000000
54100.000000,261.970000,45.236645,0.000000
54200.000000,261.690000,44.659356,0.000000
54300.000000,261.410000,44.088863,0.000000
54400.000000,261.130000,43.525091,0.000000
54500.000000,260.850000,42.967970,0.000000
54600.000000,260.570000,42.417426,0.000000
54700.000000,260.290000,41.873389,0.000000
54800.000000,260.010000,41.335787,0.000000
54900.000000,259.730000,40.804552,0.000000
55000.000000,259.450000,40.279614,0.000000
55100.000000,259.170000,39.760905,0.000000
55200.000000,258.890000,39.248357,0.000000
55300.000000,258.610000,38.741902,0.000000
55400.000000,258.330000,38.241475,0.000000
55500.000000,258.050000,37.747010,0.000000
55600.000000,257.770000,37.258441,0.000000
55700.000000,257.490000,36.775704,0.000000
55800.000000,257.210000,36.298735,0.000000
55900.000000,256.930000,35.827472,0.000000
56000.000000,256.650000,35.361851,0.000000
56100.000000,256.370000,34.901811,0.000000
56200.000000,256.090000,34.447290,0.000000
56300.000000,255.810000,33.998228,0.000000
56400.000000,255.530000,33.554564,0.000000
56500.000000,255.250000,33.116239,0.000000
56600.000000,254.970000,32.683195,0.000000
56700.000000,254.690000,32.255372,0.000000
56800.000000,254.410000,31.832713,0.000000
