time,thrust
2.118000,5272.702936
2.120000,5272.251652
2.122000,5271.800631
2.124000,5271.349872
2.126000,5270.899376
2.128000,5270.449142
2.130000,5269.999168
2.132000,5269.549455
2.134000,5269.100002
2.136000,5268.650809
2.138000,5268.201874
2.140000,5267.753198
2.142000,5267.304780
2.144000,5266.856620
2.146000,5266.408716
2.148000,5265.961069
2.150000,5265.513678
2.152000,5265.066542
2.154000,5264.619662
2.156000,5264.173035
2.158000,5263.726663
2.160000,5263.280544
2.162000,5262.834677
2.164000,5262.389063
2.166000,5261.943701
2.168000,5261.498591
2.170000,5261.053731
2.172000,5260.609122
2.174000,5260.164762
2.176000,5259.720655
2.178000,5259.276799
2.180000,5258.833194
2.182000,5258.389840
2.184000,5257.946737
2.186000,5257.503887
2.188000,5257.061288
2.190000,5256.618940
2.192000,5256.176843
2.194000,5255.734997
2.196000,5255.293401
2.198000,5254.852055
2.200000,5254.410960
2.202000,5253.970113
2.204000,5253.529516
2.206000,5253.089168
2.208000,5252.649068
2.210000,5252.209216
2.212000,5251.769612
2.214000,5251.330256
2.216000,5250.891146
2.218000,5250.452284
2.220000,5250.013668
2.222000,5249.575299
2.224000,5249.137175
2.226000,5248.699297
2.228000,5248.261664
2.230000,5247.824276
2.232000,5247.387132
2.234000,5246.950233
2.236000,5246.513578
2.238000,5246.077167
2.240000,5245.640999
2.242000,5245.205074
2.244000,5244.769391
2.246000,5244.333951
2.248000,5243.898754
2.250000,5243.463798
2.252000,5243.029083
2.254000,5242.594610
2.256000,5242.160377
2.258000,5241.726385
2.260000,5241.292634
2.262000,5240.859122
2.264000,5240.425850
2.266000,5239.992817
2.268000,5239.560023
2.270000,5239.127468
2.272000,5238.695152
2.274000,5238.263073
2.276000,5237.831232
2.278000,5237.399629
2.280000,5236.968263
2.282000,5236.537134
2.284000,5236.106242
2.286000,5235.675586
2.288000,5235.245166
2.290000,5234.814982
2.292000,5234.385033
2.294000,5233.955319
2.296000,5233.525841
2.298000,5233.096597
2.300000,5232.667587
2.302000,5232.238811
2.304000,5231.810268
2.306000,5231.381960
2.308000,5230.953884
2.310000,5230.526041
2.312000,5230.098431
2.314000,5229.671053
2.316000,5229.243906
2.318000,5228.816992
2.320000,5228.390309
2.322000,5227.963857
2.324000,5227.537636
2.326000,5227.111646
2.328000,5226.685885
2.330000,5226.260355
2.332000,5225.835055
2.334000,5225.409984
2.336000,5224.985142
2.338000,5224.560529
2.340000,5224.136144
2.342000,5223.711988
2.344000,5223.288060
2.346000,5222.864360
2.348000,5222.440887
2.350000,5222.017641
2.352000,5221.594623
2.354000,5221.171831
2.356000,5220.749265
2.358000,5220.326926
2.360000,5219.904812
2.362000,5219.482924
2.364000,5219.061261
2.366000,5218.639824
2.368000,5218.218611
2.370000,5217.797623
2.372000,5217.376859
2.374000,5216.956319
2.376000,5216.536002
2.378000,5216.115909
2.380000,5215.696040
2.382000,5215.276393
2.384000,5214.856969
2.386000,5214.437767
2.388000,5214.018788
2.390000,5213.600030
2.392000,5213.181494
2.394000,5212.763179
2.396000,5212.345086
2.398000,5211.927213
2.400000,5211.509561
2.402000,5211.092129
2.404000,5210.674917
2.406000,5210.257925
2.408000,5209.841152
2.410000,5209.424599
2.412000,5209.008265
2.414000,5208.592150
2.416000,5208.176253
2.418000,5207.760575
2.420000,5207.345114
2.422000,5206.929871
2.424000,5206.514846
2.426000,5206.100038
2.428000,5205.685448
2.430000,5205.271074
2.432000,5204.856916
2.434000,5204.442975
2.436000,5204.029249
2.438000,5203.615740
2.440000,5203.202446
2.442000,5202.789367
2.444000,5202.376504
2.446000,5201.963855
2.448000,5201.551421
2.450000,5201.139201
2.452000,5200.727195
2.454000,5200.315403
2.456000,5199.903824
2.458000,5199.492459
2.460000,5199.081307
2.462000,5198.670368
2.464000,5198.259642
2.466000,5197.849127
2.468000,5197.438825
2.470000,5197.028735
2.472000,5196.618857
2.474000,5196.209190
2.476000,5195.799734
2.478000,5195.390489
2.480000,5194.981455
2.482000,5194.572631
2.484000,5194.164018
2.486000,5193.755614
2.488000,5193.347420
2.490000,5192.939436
2.492000,5192.531661
2.494000,5192.124095
2.496000,5191.716739
2.498000,5191.309590
2.500000,5190.902650
2.502000,5190.495918
2.504000,5190.089395
2.506000,5189.683078
2.508000,5189.276970
2.510000,5188.871068
2.512000,5188.465374
2.514000,5188.059886
2.516000,5187.654605
2.518000,5187.249530
2.520000,5186.844661
2.522000,5186.439998
2.524000,5186.035541
2.526000,5185.631289
2.528000,5185.227242
2.530000,5184.823401
2.532000,5184.419764
2.534000,5184.016331
2.536000,5183.613103
